Index,Date_2017,Hour,Throughput_2017,Week Number,Weekday,Date_2018,Throughput_2018,Date_2019,Throughput_2019
55,,7:00:00,,2,Sunday,,,1/13/19,2
56,,8:00:00,,2,Sunday,,,1/13/19,2
57,,9:00:00,,2,Sunday,1/14/18,1,,
58,,10:00:00,,2,Sunday,1/14/18,2,,
59,,12:00:00,,2,Sunday,1/14/18,1,1/13/19,3
60,,14:00:00,,2,Sunday,1/14/18,3,1/13/19,2
61,,15:00:00,,2,Sunday,,,1/13/19,2
62,,16:00:00,,2,Sunday,,,1/13/19,2
63,,17:00:00,,2,Sunday,1/14/18,2,,
64,,18:00:00,,2,Sunday,1/14/18,17,,
65,,19:00:00,,2,Sunday,1/14/18,3,,
66,,20:00:00,,2,Sunday,1/14/18,17,,
67,,21:00:00,,2,Sunday,1/14/18,17,,
68,,5:00:00,,2,Thursday,,,1/10/19,1
69,,6:00:00,,2,Thursday,,,1/10/19,5
70,,7:00:00,,2,Thursday,,,1/10/19,3
71,,8:00:00,,2,Thursday,1/11/18,4,,
72,,10:00:00,,2,Thursday,,,1/10/19,3
73,,11:00:00,,2,Thursday,,,1/10/19,4
74,,15:00:00,,2,Thursday,1/11/18,3,1/10/19,10
75,,16:00:00,,2,Thursday,,,1/10/19,1
76,,7:00:00,,2,Tuesday,1/9/18,4,,
77,,8:00:00,,2,Tuesday,1/9/18,2,,
78,,10:00:00,,2,Tuesday,1/9/18,2,1/8/19,5
79,,11:00:00,,2,Tuesday,,,1/8/19,8
80,,14:00:00,,2,Tuesday,,,1/8/19,1
81,,15:00:00,,2,Tuesday,1/9/18,2,,
82,,19:00:00,,2,Tuesday,1/9/18,21,1/8/19,1
83,,20:00:00,,2,Tuesday,1/9/18,17,1/8/19,1
84,,21:00:00,,2,Tuesday,,,1/8/19,2
85,,5:00:00,,2,Wednesday,1/10/18,1,,
86,,6:00:00,,2,Wednesday,,,1/9/19,5
87,,7:00:00,,2,Wednesday,,,1/9/19,1
88,,8:00:00,,2,Wednesday,,,1/9/19,1
89,,9:00:00,,2,Wednesday,1/10/18,1,,
90,,12:00:00,,2,Wednesday,1/10/18,1,,
91,,13:00:00,,2,Wednesday,1/10/18,2,,
92,,15:00:00,,2,Wednesday,,,1/9/19,4
93,,17:00:00,,2,Wednesday,1/10/18,2,,
94,,18:00:00,,2,Wednesday,1/10/18,2,,
95,,20:00:00,,2,Wednesday,1/10/18,21,,
96,,21:00:00,,2,Wednesday,1/10/18,17,1/9/19,2
97,,6:00:00,,3,Friday,,,1/18/19,2
98,,7:00:00,,3,Friday,,,1/18/19,2
99,,8:00:00,,3,Friday,,,1/18/19,7
100,,9:00:00,,3,Friday,,,1/18/19,2
101,,11:00:00,,3,Friday,,,1/18/19,12
102,,12:00:00,,3,Friday,,,1/18/19,1
103,,14:00:00,,3,Friday,,,1/18/19,4
104,,17:00:00,,3,Friday,,,1/18/19,10
105,,19:00:00,,3,Friday,1/19/18,18,,
106,,20:00:00,,3,Friday,1/19/18,2,,
107,,21:00:00,,3,Friday,1/19/18,19,1/18/19,4
108,,5:00:00,,3,Monday,1/15/18,2,,
109,,7:00:00,,3,Monday,,,1/14/19,5
110,,8:00:00,,3,Monday,,,1/14/19,2
111,,10:00:00,,3,Monday,,,1/14/19,1
112,,11:00:00,,3,Monday,1/15/18,1,,
113,,12:00:00,,3,Monday,,,1/14/19,1
114,,14:00:00,,3,Monday,,,1/14/19,4
115,,15:00:00,,3,Monday,,,1/14/19,2
116,,16:00:00,,3,Monday,1/15/18,1,,
117,,17:00:00,,3,Monday,,,1/14/19,1
118,,18:00:00,,3,Monday,,,1/14/19,2
119,,19:00:00,,3,Monday,1/15/18,1,1/14/19,1
120,,20:00:00,,3,Monday,1/15/18,18,,
121,,21:00:00,,3,Monday,1/15/18,17,1/14/19,1
122,,7:00:00,,3,Saturday,,,1/19/19,1
123,,8:00:00,,3,Saturday,,,1/19/19,4
124,,9:00:00,,3,Saturday,1/20/18,1,,
125,,10:00:00,,3,Saturday,1/20/18,17,,
126,,11:00:00,,3,Saturday,,,1/19/19,4
127,,14:00:00,,3,Saturday,1/20/18,3,,
128,,15:00:00,,3,Saturday,1/20/18,1,,
129,,16:00:00,,3,Saturday,,,1/19/19,2
130,,17:00:00,,3,Saturday,,,1/19/19,5
131,,18:00:00,,3,Saturday,,,1/19/19,7
132,,19:00:00,,3,Saturday,1/20/18,17,,
133,,20:00:00,,3,Saturday,,,1/19/19,13
134,,21:00:00,,3,Saturday,1/20/18,18,,
135,,7:00:00,,3,Sunday,,,1/20/19,1
136,,8:00:00,,3,Sunday,,,1/20/19,2
137,,9:00:00,,3,Sunday,,,1/20/19,2
138,,10:00:00,,3,Sunday,1/21/18,2,1/20/19,2
139,,11:00:00,,3,Sunday,,,1/20/19,4
140,,12:00:00,,3,Sunday,1/21/18,2,1/20/19,2
141,,13:00:00,,3,Sunday,1/21/18,2,,
142,,14:00:00,,3,Sunday,1/21/18,9,1/20/19,8
143,,15:00:00,,3,Sunday,,,1/20/19,5
144,,16:00:00,,3,Sunday,1/21/18,1,,
145,,17:00:00,,3,Sunday,1/21/18,4,1/20/19,2
146,,18:00:00,,3,Sunday,1/21/18,17,,
147,,19:00:00,,3,Sunday,,,1/20/19,2
148,,20:00:00,,3,Sunday,1/21/18,17,1/20/19,1
149,,21:00:00,,3,Sunday,,,1/20/19,1
150,,7:00:00,,3,Thursday,,,1/17/19,6
151,,9:00:00,,3,Thursday,,,1/17/19,3
152,,10:00:00,,3,Thursday,,,1/17/19,2
153,,11:00:00,,3,Thursday,1/18/18,1,1/17/19,1
154,,12:00:00,,3,Thursday,,,1/17/19,2
155,,13:00:00,,3,Thursday,,,1/17/19,1
156,,14:00:00,,3,Thursday,,,1/17/19,3
157,,16:00:00,,3,Thursday,1/18/18,1,1/17/19,1
158,,19:00:00,,3,Thursday,1/18/18,17,1/17/19,1
159,,20:00:00,,3,Thursday,1/18/18,17,1/17/19,1
160,,21:00:00,,3,Thursday,1/18/18,19,,
161,,8:00:00,,3,Tuesday,,,1/15/19,2
162,,10:00:00,,3,Tuesday,,,1/15/19,4
163,,11:00:00,,3,Tuesday,,,1/15/19,3
