Index,Date_2019,Hour,Throughput_2019,Week Number,Weekday
136,7/18/19,12:00:00,39,29,Thursday
137,7/18/19,13:00:00,24,29,Thursday
138,7/19/19,10:00:00,0,29,Friday
139,7/20/19,10:00:00,0,29,Saturday
140,7/21/19,10:00:00,23,29,Sunday
141,7/21/19,11:00:00,36,29,Sunday
142,7/21/19,12:00:00,69,29,Sunday
143,7/21/19,13:00:00,5,29,Sunday
144,7/22/19,10:00:00,17,30,Monday
145,7/22/19,11:00:00,15,30,Monday
146,7/22/19,12:00:00,7,30,Monday
147,7/22/19,13:00:00,9,30,Monday
148,7/23/19,10:00:00,18,30,Tuesday
149,7/23/19,11:00:00,26,30,Tuesday
150,7/23/19,12:00:00,11,30,Tuesday
151,7/23/19,13:00:00,9,30,Tuesday
152,7/24/19,10:00:00,1,30,Wednesday
153,7/24/19,11:00:00,13,30,Wednesday
154,7/24/19,12:00:00,22,30,Wednesday
155,7/24/19,13:00:00,3,30,Wednesday
156,7/25/19,10:00:00,4,30,Thursday
157,7/25/19,11:00:00,30,30,Thursday
158,7/25/19,12:00:00,62,30,Thursday
159,7/25/19,13:00:00,54,30,Thursday
160,7/26/19,10:00:00,0,30,Friday
161,7/27/19,10:00:00,0,30,Saturday
162,7/28/19,10:00:00,10,30,Sunday
163,7/28/19,11:00:00,11,30,Sunday
164,7/28/19,12:00:00,48,30,Sunday
165,7/28/19,13:00:00,89,30,Sunday
166,7/29/19,10:00:00,120,31,Monday
167,7/29/19,11:00:00,40,31,Monday
168,7/29/19,12:00:00,34,31,Monday
169,7/29/19,13:00:00,107,31,Monday
170,7/30/19,10:00:00,0,31,Tuesday
171,7/31/19,10:00:00,24,31,Wednesday
172,7/31/19,11:00:00,144,31,Wednesday
173,7/31/19,12:00:00,71,31,Wednesday
174,7/31/19,13:00:00,89,31,Wednesday
175,8/1/19,10:00:00,80,31,Thursday
176,8/1/19,11:00:00,216,31,Thursday
177,8/1/19,12:00:00,238,31,Thursday
178,8/1/19,13:00:00,185,31,Thursday
179,8/2/19,10:00:00,0,31,Friday
180,8/3/19,10:00:00,0,31,Saturday
181,8/4/19,10:00:00,15,31,Sunday
182,8/4/19,11:00:00,73,31,Sunday
183,8/4/19,12:00:00,46,31,Sunday
184,8/4/19,13:00:00,7,31,Sunday
185,8/5/19,10:00:00,110,32,Monday
186,8/5/19,11:00:00,90,32,Monday
187,8/5/19,12:00:00,85,32,Monday
188,8/5/19,13:00:00,23,32,Monday
189,8/6/19,10:00:00,0,32,Tuesday
190,8/7/19,10:00:00,0,32,Wednesday
