Index,Date_2015,Hour,Throughput_2015,Week Number,Weekday
138,1/19/15,21:00:00,199,4,Monday
139,1/20/15,6:00:00,121,4,Tuesday
140,1/20/15,7:00:00,29,4,Tuesday
141,1/20/15,8:00:00,34,4,Tuesday
142,1/20/15,9:00:00,76,4,Tuesday
143,1/20/15,10:00:00,75,4,Tuesday
144,1/20/15,11:00:00,43,4,Tuesday
145,1/20/15,12:00:00,105,4,Tuesday
146,1/20/15,13:00:00,115,4,Tuesday
147,1/20/15,14:00:00,87,4,Tuesday
148,1/20/15,15:00:00,44,4,Tuesday
149,1/20/15,16:00:00,61,4,Tuesday
150,1/20/15,17:00:00,53,4,Tuesday
151,1/20/15,18:00:00,111,4,Tuesday
152,1/20/15,19:00:00,131,4,Tuesday
153,1/20/15,20:00:00,160,4,Tuesday
154,1/20/15,21:00:00,160,4,Tuesday
155,1/21/15,6:00:00,194,4,Wednesday
156,1/21/15,7:00:00,39,4,Wednesday
157,1/21/15,8:00:00,74,4,Wednesday
158,1/21/15,9:00:00,116,4,Wednesday
159,1/21/15,10:00:00,84,4,Wednesday
160,1/21/15,11:00:00,39,4,Wednesday
161,1/21/15,12:00:00,94,4,Wednesday
162,1/21/15,13:00:00,146,4,Wednesday
163,1/21/15,14:00:00,129,4,Wednesday
164,1/21/15,15:00:00,41,4,Wednesday
165,1/21/15,16:00:00,72,4,Wednesday
166,1/21/15,17:00:00,75,4,Wednesday
167,1/21/15,18:00:00,67,4,Wednesday
168,1/21/15,19:00:00,127,4,Wednesday
169,1/21/15,20:00:00,187,4,Wednesday
170,1/21/15,21:00:00,158,4,Wednesday
171,1/22/15,6:00:00,180,4,Thursday
172,1/22/15,7:00:00,45,4,Thursday
173,1/22/15,8:00:00,69,4,Thursday
174,1/22/15,9:00:00,79,4,Thursday
175,1/22/15,10:00:00,65,4,Thursday
176,1/22/15,11:00:00,29,4,Thursday
177,1/22/15,12:00:00,84,4,Thursday
178,1/22/15,13:00:00,96,4,Thursday
179,1/22/15,14:00:00,77,4,Thursday
180,1/22/15,15:00:00,59,4,Thursday
181,1/22/15,16:00:00,26,4,Thursday
182,1/22/15,17:00:00,64,4,Thursday
183,1/23/15,6:00:00,235,4,Friday
184,1/23/15,7:00:00,36,4,Friday
185,1/23/15,8:00:00,105,4,Friday
186,1/23/15,9:00:00,111,4,Friday
